ip.session_id,meta.direction,ip.pkts_per_flow,duration,ip.header_len,ip.payload_len,ip.avg_bytes_tot_len,time_between_pkts_sum,time_between_pkts_avg,time_between_pkts_max,time_between_pkts_min,time_between_pkts_std,"(-0.001, 50.0]","(50.0, 100.0]","(100.0, 150.0]","(150.0, 200.0]","(200.0, 250.0]","(250.0, 300.0]","(300.0, 350.0]","(350.0, 400.0]","(400.0, 450.0]","(450.0, 500.0]","(500.0, 550.0]",tcp_pkts_per_flow,pkts_rate,tcp_bytes_per_flow,byte_rate,tcp.tcp_session_payload_up_len,tcp.tcp_session_payload_down_len,"(-0.001, 150.0]","(150.0, 300.0]","(300.0, 450.0]","(450.0, 600.0]","(600.0, 750.0]","(750.0, 900.0]","(900.0, 1050.0]","(1050.0, 1200.0]","(1200.0, 1350.0]","(1350.0, 1500.0]","(1500.0, 10000.0]",tcp.fin,tcp.syn,tcp.rst,tcp.psh,tcp.ack,tcp.urg,sport_g,sport_le,dport_g,dport_le,mean_tcp_pkts,std_tcp_pkts,min_tcp_pkts,max_tcp_pkts,entropy_tcp_pkts,mean_tcp_len,std_tcp_len,min_tcp_len,max_tcp_len,entropy_tcp_len,ssl.tls_version,malware
1073,1,5.0,1027.9217810630798,100.0,438.0,87.9,502.87318229675293,100.57463645935059,502.26712226867676,0.011920928955078125,224.5530322027974,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0.004864183337791505,326,0.004864183337791505,5,5,4,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4,0,5,0,5,0,52680.0,0.0,52680,52680,0.0,65.2,145.79163213298628,0,326,0,0,0
263,0,5.0,516.2255728244781,100.0,241.0,87.9,11.03663444519043,2.207326889038086,9.804964065551758,0.016927719116210938,4.2507480288243515,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.009685688317692176,129,0.009685688317692176,5,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,2,5,0,5,0,5,0,8080.0,0.0,8080,8080,0.0,25.8,48.74628190949541,0,112,0,0,1
302,0,5.0,535.2972829341888,100.0,241.0,91.8,37.23883628845215,7.44776725769043,32.43303298950195,0.00095367431640625,14.01112689713099,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.009340604108044232,129,0.009340604108044232,5,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,2,5,0,5,0,5,0,8080.0,0.0,8080,8080,0.0,25.8,48.74628190949541,0,112,0,0,1
7332,1,5.0,9405.724640130997,100.0,438.0,87.9,2004.4870376586914,400.8974075317383,2003.8199424743652,0.011205673217773438,896.0609684867677,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0005315911523357507,326,0.0005315911523357507,5,5,4,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4,0,5,0,5,0,58950.0,0.0,58950,58950,0.0,65.2,145.79163213298628,0,326,0,0,0
13027,0,5.0,17300.209455013275,100.0,241.0,87.9,10.469913482666016,2.093982696533203,9.18889045715332,0.0021457672119140625,3.970846333871538,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.00028901384188450354,129,0.00028901384188450354,5,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,2,5,0,5,0,5,0,8080.0,0.0,8080,8080,0.0,25.8,48.74628190949541,0,112,0,0,0
10512,1,5.0,14763.649705171585,100.0,438.0,87.9,2004.1301250457764,400.8260250091553,2003.5409927368164,0.010013580322265625,895.9449283279258,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.00033866964469148443,326,0.00033866964469148443,5,5,4,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4,0,5,0,5,0,62131.0,0.0,62131,62131,0.0,65.2,145.79163213298628,0,326,0,0,0
31,1,5.0,60.502251863479614,100.0,438.0,87.9,2003.4141540527344,400.6828308105469,2002.7670860290527,0.02288818359375,895.5923499049413,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.08264155210755224,326,0.08264155210755224,5,5,4,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4,0,5,0,5,0,50625.0,0.0,50625,50625,0.0,65.2,145.79163213298628,0,326,0,0,1
12685,1,5.0,17136.261479139328,100.0,438.0,87.9,504.11415100097656,100.82283020019531,503.35097312927246,0.01811981201171875,225.0202389496249,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0.0002917789277484301,326,0.0002917789277484301,5,5,4,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4,0,5,0,5,0,64304.0,0.0,64304,64304,0.0,65.2,145.79163213298628,0,326,0,0,0
985,1,5.0,1124.2874028682709,100.0,438.0,87.9,2004.8160552978516,400.9632110595703,2004.2381286621094,0.019073486328125,896.2579473662094,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.004447261427321919,326,0.004447261427321919,5,5,4,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4,0,5,0,5,0,51579.0,0.0,51579,51579,0.0,65.2,145.79163213298628,0,326,0,0,1
12540,1,5.0,17065.76319718361,100.0,438.0,87.9,504.21714782714844,100.84342956542969,503.6599636077881,0.010967254638671875,225.1813740572864,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0.0002929842599026077,326,0.0002929842599026077,5,5,4,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4,0,5,0,5,0,64159.0,0.0,64159,64159,0.0,65.2,145.79163213298628,0,326,0,0,0
